[2022-04-22:11:32:36]:NetworkName:lo, DistplayName:Software Loopback Interface 1, ADD 
[2022-04-22:11:32:36]:NetworkName:net0, DistplayName:Microsoft 6to4 Adapter, ADD 
[2022-04-22:11:32:36]:NetworkName:eth0, DistplayName:Hyper-V Virtual Switch Extension Adapter #3, ADD 
[2022-04-22:11:32:36]:NetworkName:net1, DistplayName:WAN Miniport (PPTP), ADD 
[2022-04-22:11:32:36]:NetworkName:wlan0, DistplayName:Microsoft Wi-Fi Direct Virtual Adapter #2, ADD 
[2022-04-22:11:32:36]:NetworkName:net2, DistplayName:WAN Miniport (L2TP), ADD 
[2022-04-22:11:32:36]:NetworkName:net3, DistplayName:Microsoft IP-HTTPS Platform Adapter, ADD 
[2022-04-22:11:32:36]:NetworkName:wlan1, DistplayName:Microsoft Wi-Fi Direct Virtual Adapter #5, ADD 
[2022-04-22:11:32:36]:NetworkName:wlan2, DistplayName:Microsoft Wi-Fi Direct Virtual Adapter #3-QoS Packet Scheduler-0000, ADD 
[2022-04-22:11:32:36]:NetworkName:eth1, DistplayName:WAN Miniport (IP), ADD 
[2022-04-22:11:32:36]:NetworkName:eth2, DistplayName:Apple Mobile Device Ethernet, ADD 
[2022-04-22:11:32:36]:NetworkName:net4, DistplayName:WAN Miniport (SSTP), ADD 
[2022-04-22:11:32:36]:NetworkName:wlan3, DistplayName:Intel(R) Dual Band Wireless-AC 8265, ADD 
[2022-04-22:11:32:36]:NetworkName:eth3, DistplayName:WAN Miniport (IPv6), ADD 
[2022-04-22:11:32:36]:NetworkName:eth4, DistplayName:Hyper-V Virtual Switch Extension Adapter #2, ADD 
[2022-04-22:11:32:36]:NetworkName:eth5, DistplayName:WAN Miniport (Network Monitor), ADD 
[2022-04-22:11:32:36]:NetworkName:eth6, DistplayName:Realtek USB FE Family Controller, ADD 
[2022-04-22:11:32:36]:NetworkName:eth7, DistplayName:Hyper-V Virtual Ethernet Adapter #2, ADD 
[2022-04-22:11:32:36]:NetworkName:net5, DistplayName:Microsoft Teredo Tunneling Adapter, ADD 
[2022-04-22:11:32:36]:NetworkName:wlan4, DistplayName:Microsoft Wi-Fi Direct Virtual Adapter, ADD 
[2022-04-22:11:32:36]:NetworkName:eth8, DistplayName:Intel(R) Ethernet Connection (4) I219-V, ADD 
[2022-04-22:11:32:36]:NetworkName:eth9, DistplayName:Hyper-V Virtual Ethernet Adapter #3, ADD 
[2022-04-22:11:32:36]:NetworkName:ppp0, DistplayName:WAN Miniport (PPPOE), ADD 
[2022-04-22:11:32:36]:NetworkName:eth10, DistplayName:Microsoft Kernel Debug Network Adapter, ADD 
[2022-04-22:11:32:36]:NetworkName:wlan5, DistplayName:Microsoft Wi-Fi Direct Virtual Adapter #3, ADD 
[2022-04-22:11:32:36]:NetworkName:eth11, DistplayName:TAP-Windows Adapter V9, ADD 
[2022-04-22:11:32:36]:NetworkName:wlan6, DistplayName:Microsoft Wi-Fi Direct Virtual Adapter #4, ADD 
[2022-04-22:11:32:36]:NetworkName:eth12, DistplayName:Bluetooth Device (Personal Area Network), ADD 
[2022-04-22:11:32:36]:NetworkName:net6, DistplayName:WAN Miniport (IKEv2), ADD 
[2022-04-22:11:32:36]:NetworkName:wlan7, DistplayName:Microsoft Wi-Fi Direct Virtual Adapter #3-WFP Native MAC Layer LightWeight Filter-0000, ADD 
